movieid,title,country,year_released,runtime
444,Le Journal d'une femme de chambre,it,1964,97
445,The Corsican Brothers,us,1941,111
446,Die Hard,us,1988,132
447,Diner,us,1982,110
448,Dinner at Eight,us,1933,113
449,The Dirty Dozen,us,1967,95
450,Dirty Rotten Scoundrels,us,1988,110
451,Le Charme discret de la bourgeoisie,fr,1972,102
452,Disraeli,us,1929,90
453,Ashani Sanket,in,1973,101
454,Do the Right Thing,us,1989,120
455,The Incredibly Strange Creatures Who Stopped Living and Beca,us,1964,82
456,Dodsworth,us,1936,101
457,Dont Look Back,us,1967,96
458,Double Indemnity,us,1944,107
459,Down by Law,us,1986,107
460,Dressed to Kill,us,1980,104
461,The Dresser,gb,1983,118
462,Drugstore Cowboy,us,1989,102
463,Madame de...,it,1953,105
464,East of Eden,us,1955,115
465,Eight Men Out,us,1988,117
466,Elmer Gantry,us,1960,146
467,Empire of the Sun,us,1987,99
468,Le Roi et l'Oiseau,fr,1952,63
469,Entre Nous,fr,1983,110
470,E.T. the Extra-Terrestrial,us,1982,114
471,Europa,dk,1991,114
472,Sauve qui peut (la vie),ch,1980,87
473,The Exorcist,us,1973,146
474,A Face in the Crowd,us,1957,102
475,Planet of the Apes,us,1968,112
476,Fantasia,us,1940,126
477,Far From Heaven,us,2002,107
478,Fast Cheap & Out of Control,us,1997,80
479,Fat City,us,1972,100
480,Fatal Attraction,us,1987,108
481,Father of the Bride,us,1950,92
482,Hei Mao,hk,1991,91
483,The Fisher King,us,1991,137
484,The Flamingo Kid,us,1984,100
485,The Fly,us,1958,93
486,Force of Evil,us,1948,78
487,For Whom the Bell Tolls,us,1943,170
488,Jeux interdits,fr,1952,86
489,A Foreign Affair,us,1948,116
490,Les Quatre Cents Coups,fr,1959,99
491,Frankenstein,us,1931,71
492,Sleuth,gb,1972,138
493,The Fugitive,mx,1947,104
494,Full Metal Jacket,us,1987,116
495,The Full Monty,gb,1997,91
496,Funny Face,us,1957,103
497,Funny Girl,us,1968,
498,Fury,us,1936,92
499,Gallipoli,au,1981,111
500,Gangs of New York,us,2002,168
501,Gas Food Lodging,us,1992,101
502,Gaslight,us,1944,114
503,Gentlemen Prefer Blondes,us,1953,91
504,Georgy Girl,gb,1966,99
505,Get Carter,gb,1971,112
506,Préparez vos mouchoirs,fr,1978,105
507,Ghost World,us,2001,112
508,Giant,us,1956,201
509,The Girl Can't Help It,us,1956,99
510,The Go-Between,gb,1971,116
511,Goldfinger,gb,1964,110
512,The Good Earth,us,1937,138
513,Gosford Park,gb,2001,137
514,The Graduate,us,1967,105
515,The Grapes of Wrath,us,1940,129
516,12 Angry Men,us,1957,96
517,The Grifters,us,1990,110
518,The Gunfighter,us,1950,85
519,Hair,us,1979,121
520,Hamlet,us,2000,112
521,Handle with Care,us,1977,98
522,Hannah and Her Sisters,us,1986,106
523,Happiness,us,1998,139
524,A Hard Day's Night,gb,1964,87
525,"Harlan County, USA",us,1976,103
526,Harry and Tonto,us,1974,115
527,A Hatful of Rain,us,1957,109
528,The Heartbreak Kid,us,1972,106
529,Hearts of Darkness: A Filmmaker's Apocalypse,us,1991,96
530,Heat and Dust,gb,1983,133
531,Heavy Traffic,us,1973,76
532,Joey,us,1985,98
533,The Heiress,us,1949,115
534,Henry V,gb,1989,137
535,Here Comes Mr. Jordan,us,1941,94
536,天国to地獄,jp,1963,143
537,The High and the Mighty,us,1954,147
538,High Sierra,us,1941,100
539,His Girl Friday,us,1940,92
540,Hoop Dreams,us,1994,170
541,The Hours,us,2002,114
542,How to Marry a Millionaire,us,1953,95
543,Howards End,gb,1992,142
544,Hud,us,1963,112
545,Husbands and Wives,us,1992,103
546,The Hustler,us,1961,134
547,I Remember Mama,us,1948,134
548,I Want to Live!,us,1958,120
549,Imitation of Life,us,1959,125
550,In Cold Blood,us,1967,135
551,In the Bedroom,us,2001,131
552,The Informer,us,1935,91
553,Inherit the Wind,us,1960,128
554,The Insider,us,1999,157
555,Internal Affairs,us,1990,134
556,The Ipcress File,gb,1965,109
557,Jailhouse Rock,us,1957,96
558,Jerry Maguire,us,1996,138
559,Johnny Guitar,us,1954,110
560,Judgment at Nuremberg,us,1961,179
561,Giulietta degli spiriti,it,1965,144
562,Junior Bonner,us,1972,100
563,Kagemusha,jp,1980,180
564,The Killers,us,1946,103
565,The Killing Fields,gb,1984,141
566,The King and I,us,1956,133
567,Korol' Lir,ru,1971,130
568,The King of Comedy,us,1982,109
569,The King of Marvin Gardens,us,1972,103
570,Mortu Nega,gw,1987,85
571,L.A. Confidential,us,1997,138
572,Lacombe Lucien,fr,1974,138
573,The Lady Eve,us,1941,94
574,Lamerica,it,1994,116
575,The Last American Hero,us,1973,95
576,Le Dernier Métro,fr,1980,131
577,The Last Picture Show,us,1971,118
578,The Last Temptation of Christ,us,1988,163
579,The Last Waltz,us,1978,117
580,Laura,us,1944,88
581,A League of Their Own,us,1992,128
582,Leaving Las Vegas,us,1995,112
583,A Letter to Three Wives,us,1949,103
584,Life with Father,us,1947,118
585,Psycho,us,1960,109
586,Little Big Man,us,1970,139
587,The Little Foxes,us,1941,115
588,Little Fugitive,us,1953,80
589,Malen'kaja Vera,ru,1988,135
590,Little Women,us,1933,117
591,The Lives of a Bengal Lancer,us,1935,109
592,Local Hero,gb,1983,111
593,Lolita,us,1962,152
594,Lone Star,us,1996,135
595,Long Day's Journey into Night,us,1962,174
596,The Long Goodbye,us,1973,112
597,The Long Voyage Home,us,1940,105
598,Lost Horizon,us,1937,132
599,Lost in America,us,1985,91
600,Robin Hood,us,1973,83
601,Love Affair,us,1939,87
602,Love and Death,us,1975,85
603,Love in the Afternoon,us,1957,124
604,L'Amour en fuite,fr,1979,94
605,M,de,1931,111
606,The Madness of King George,gb,1994,110
607,Trollflöjten,se,1975,135
608,The Major and the Minor,us,1942,100
609,Make Way for Tomorrow,us,1937,92
610,Malcolm X,us,1992,202
611,The Maltese Falcon,us,1941,101
612,Man Hunt,us,1941,105
613,The Man Who Came to Dinner,us,1942,112
614,The Man Who Wasn't There,us,2001,116
615,The Man with the Golden Arm,us,1955,119
616,The Manchurian Candidate,us,1962,126
617,Manhattan,us,1979,96
618,Die Ehe der Maria Braun,de,1979,115
619,Married to the Mob,us,1988,104
620,McCabe & Mrs. Miller,us,1971,121
621,Meet Me in St. Louis,us,1944,113
622,Melvin and Howard,us,1980,95
623,The Memory of Justice,us,1976,278
624,The Men,us,1950,85
625,Midnight,us,1939,94
626,The Miracle Worker,us,1962,106
627,Les Misérables,us,1935,108
628,The Misfits,us,1961,125
629,The Thing,us,1982,109
630,Mr. & Mrs. Bridge,us,1990,126
631,Mister Roberts,us,1955,123
632,Mr. Smith Goes to Washington,us,1939,129
633,Mona Lisa,gb,1986,104
634,Monsieur Verdoux,us,1947,124
635,"Monsters, Inc.",us,2001,92
636,Cat People,us,1982,118
637,Moonstruck,us,1987,102
638,The More the Merrier,us,1943,104
639,Batman: The Movie,us,1966,104
640,The Mortal Storm,us,1940,100
641,Mother,us,1996,104
642,The Mouthpiece,us,1932,86
643,Much Ado About Nothing,us,1993,110
644,Mulholland Drive,us,2001,146
645,Le Souffle au cœur,fr,1971,118
646,My Darling Clementine,us,1946,97
647,My Dinner with Andre,us,1981,111
648,Ma nuit chez Maud,fr,1969,110
649,My Own Private Idaho,us,1991,102
650,Mon oncle,it,1958,120
651,The Naked Gun: From the Files of Police Squad!,us,1988,85
652,Nashville,us,1975,160
