title
You Were Never Lovelier (1942)
Daddy Long Legs (1955)
Beetlejuice (1988)
Edward Scissorhands (1990)
Mars Attacks! (1996)
The Public Ennemy (1931)
It Happened One Night (1934)
Mr Deeds Goes to Town (1936)
Arsenic and Old Lace (1944)
It's a Wonderful Life (1946)
Out of Sight (1998)
A Fish Called Wanda (1988)
Traffic (2000)
The Mask (1994)
Gunfight at the O.K. Corral (1957)
The Vikings (1958)
Spartacus (1960)
The Thief of Bagdad (1924)
Little Caesar (1931)
Minority Report (2002)
Le Petit Monde de Don Camillo (1952)
Cat Ballou (1965)
Klute (1971)
On Golden Pond (1981)
Easy Rider (1969)
Gilda (1946)
Ray (2004)
Julius Caesar (1953)
Drive (2011)
Scaramouche (1952)
Forrest Gump (1994)
The African Queen (1952)
No Country for Old Men (2007)
Mies vailla menneisyyttä (2002)
The Captive Heart (1946)
Pyaar Kiya To Darna Kya (1998)
Lagaan (2001)
The Flight of the Phoenix (1965)
Hatari! (1961)
Wong Gok Ka Moo (1988)
Yin Shi Nan Nu (1994)
Sense and Sensibility (1995)
Non me lo dire! (1940)
The Man Who Shot Liberty Valance (1962)
Angels with Dirty Faces (1938)
The Bostonians (1984)
Mrs Dalloway (1998)
V for Vendetta (2005)
Bullitt (1968)
The Cincinatti Kid (1965)
The Pink Panther (1963)
A Room with a View (1985)
The Blue Angel (1959)
La Grande Illusion (1937)
Sunset Boulevard (1950)
La grande guerra (1959)
2001: A Space Odyssey (1968)
The Adventures of Robin Hood (1938)
Devdas (1979)
Dirty Harry (1971)
Duck Soup (1933)
The Fiddler On The Roof (1971)
Gone With The Wind (1939)
"Goodbye, Mr. Chips (1939)"
Der Himmel über Berlin (1987)
"Honey, I Shrunk The Kids (1989)"
Fa Yeung Nin Wa (2000)
King Kong (1933)
King Kong (1976)
King Kong (2005)
The Lady Vanishes (1938)
A Night In Casablanca (1946)
Oliver! (1968)
Plan 9 From Outer Space (1959)
"Sex, Lies, and Videotape (1989)"
We Feed the World (2005)
Wuthering Heights (1939)
Wuthering Heights (1970)
Abismos de pasión (1954)
Arashi ga Oka (1988)
Nijū-shi no Hitomi (1954)
Peccato che sia una canaglia (1955)
Kikujirō no Natsu (1999)
"Volga, Volga (1938)"
Un cuento chino (2011)
O Cangaceiro (1953)
12 Years a Slave (2013)
A Beautiful Mind (2001)
A Man for All Seasons (1966)
All Quiet on the Western Front (1930)
All the King's Men (1949)
Amadeus (1984)
American Beauty (1999)
An American in Paris (1951)
Argo (2012)
Around the World in 80 Days (1956)
Ben-Hur (1959)
Braveheart (1995)
Cavalcade (1933)
Chicago (2002)
Cimarron (1931)
Crash (2004)
Dances with Wolves (1990)
Driving Miss Daisy (1989)
From Here to Eternity (1953)
Gandhi (1982)
Gigi (1958)
Gladiator (2000)
Going My Way (1944)
Grand Hotel (1932)
Hamlet (1948)
How Green Was My Valley (1941)
In the Heat of the Night (1967)
Kramer vs. Kramer (1979)
Midnight Cowboy (1969)
Million Dollar Baby (2004)
Mrs. Miniver (1942)
Mutiny on the Bounty (1935)
My Fair Lady (1964)
One Flew Over the Cuckoo's Nest (1975)
Ordinary People (1980)
Out of Africa (1985)
Patton (1970)
Platoon (1986)
Rain Man (1988)
Rebecca (1940)
Shakespeare in Love (1998)
Slumdog Millionaire (2008)
Terms of Endearment (1983)
The Best Years of Our Lives (1946)
The Bridge on the River Kwai (1957)
The Broadway Melody (1929)
The Deer Hunter (1978)
The Departed (2006)
The English Patient (1996)
The French Connection (1971)
The Godfather Part II (1974)
The Great Ziegfeld (1936)
The Greatest Show on Earth (1952)
The King's Speech (2010)
The Last Emperor (1987)
The Life of Emile Zola (1937)
The Lord of the Rings: The Return of the King (2003)
The Lost Weekend (1945)
The Silence of the Lambs (1991)
The Sting (1973)
Tom Jones (1963)
West Side Story (1961)
Wings (1927)
You Can't Take It With You (1938)
Birdman (2014)
About Schmidt (2002)
Absence of Malice (1981)
Adaptation. (2002)
The Adjuster (1991)
Affliction (1998)
Aguirre the Wrath of God (1972)
Airplane! (1980)
Aladdin (1992)
Alice's Restaurant (1969)
Aliens (1986)
All the President's Men (1976)
The Americanization of Emily (1964)
Amores perros (2000)
Anastasia (1956)
Anatomy of a Murder (1959)
Anna Christie (1930)
Apocalypse Now (1979)
The Apostle (1997)
L'Argent (1983)
Peter Pan (1953)
The Asphalt Jungle (1950)
L'Atalante (1934)
Baby Doll (1956)
Back to the Future (1985)
Bad Day at Black Rock (1955)
The Ballad of Cable Hogue (1970)
The Band Wagon (1953)
The Bank Dick (1940)
Barry Lyndon (1975)
Barton Fink (1991)
Beauty and the Beast (1991)
Before Night Falls (2000)
Being John Malkovich (1999)
Being There (1979)
Beverly Hills Cop (1984)
The Big Chill (1983)
The Big Clock (1948)
The Big Heat (1953)
The Big Sky (1952)
The Big Sleep (1946)
Biloxi Blues (1988)
Black Narcissus (1947)
Blazing Saddles (1974)
Blue Collar (1978)
Blue Velvet (1986)
Bob & Carol & Ted & Alice (1969)
Bob le flambeur (1956)
Boogie Nights (1997)
Born on the Fourth of July (1989)
Born Yesterday (1950)
Bound for Glory (1976)
Boys Don't Cry (1999)
Boyz n the Hood (1991)
Brazil (1985)
Melody Time (1948)
Breaker Morant (1980)
The Breakfast Club (1985)
Breaking Away (1979)
Breaking the Waves (1996)
La mariée était en noir (1968)
Bringing Up Baby (1938)
Broadcast News (1987)
Bull Durham (1988)
Bus Stop (1956)
Butch Cassidy and the Sundance Kid (1969)
Cabaret (1972)
The Caine Mutiny (1954)
California Suite (1978)
Camelot (1967)
Captains Courageous (1937)
Carmen Jones (1954)
Carnal Knowledge (1971)
Cat on a Hot Tin Roof (1958)
Catch-22 (1970)
Chicken Run (2000)
Chinatown (1974)
Une affaire de femmes (1988)
The Cider House Rules (1999)
A Clockwork Orange (1971)
Close Encounters of the Third Kind (1977)
Clueless (1995)
Coal Miner's Daughter (1980)
The Color of Money (1986)
Coming Home (1978)
Il conformista (1970)
The Conquest of Everest (1953)
The Conversation (1974)
Cool Hand Luke (1967)
The Count of Monte Cristo (1934)
The Country Girl (1954)
Les Cousins (1959)
Viskningar och rop (1972)
Crossfire (1947)
The Crying Game (1992)
Damn Yankees (1958)
The Damned (1969)
Dangerous Liaisons (1988)
Danton (1983)
Dark Victory (1939)
Darling (1965)
David Copperfield (1935)
David Holzman's Diary (1967)
La Nuit américaine (1973)
The Day of the Jackal (1973)
The Day the Earth Stood Still (1951)
Days of Heaven (1978)
Dead Calm (1989)
Dead End (1937)
Dead Man Walking (1995)
La Belle et la Bête (1946)
Dead Ringers (1988)
Death in Venice (1971)
Death of a Salesman (1951)
The Defiant Ones (1958)
Deliverance (1972)
Dial M for Murder (1954)
Le Journal d'une femme de chambre (1964)
The Corsican Brothers (1941)
Die Hard (1988)
Diner (1982)
Dinner at Eight (1933)
The Dirty Dozen (1967)
Dirty Rotten Scoundrels (1988)
Le Charme discret de la bourgeoisie (1972)
Disraeli (1929)
Ashani Sanket (1973)
Do the Right Thing (1989)
The Incredibly Strange Creatures Who Stopped Living and Beca (1964)
Dodsworth (1936)
Dont Look Back (1967)
Double Indemnity (1944)
Down by Law (1986)
Dressed to Kill (1980)
The Dresser (1983)
Drugstore Cowboy (1989)
Madame de... (1953)
East of Eden (1955)
Eight Men Out (1988)
Elmer Gantry (1960)
Empire of the Sun (1987)
Le Roi et l'Oiseau (1952)
Entre Nous (1983)
E.T. the Extra-Terrestrial (1982)
Europa (1991)
Sauve qui peut (la vie) (1980)
The Exorcist (1973)
A Face in the Crowd (1957)
Planet of the Apes (1968)
Fantasia (1940)
Far From Heaven (2002)
Fast Cheap & Out of Control (1997)
Fat City (1972)
Fatal Attraction (1987)
Father of the Bride (1950)
Hei Mao (1991)
The Fisher King (1991)
The Flamingo Kid (1984)
The Fly (1958)
Force of Evil (1948)
For Whom the Bell Tolls (1943)
Jeux interdits (1952)
A Foreign Affair (1948)
Les Quatre Cents Coups (1959)
Frankenstein (1931)
Sleuth (1972)
The Fugitive (1947)
Full Metal Jacket (1987)
The Full Monty (1997)
Funny Face (1957)
Funny Girl (1968)
Fury (1936)
Gallipoli (1981)
Gangs of New York (2002)
Gas Food Lodging (1992)
Gaslight (1944)
Gentlemen Prefer Blondes (1953)
Georgy Girl (1966)
Get Carter (1971)
Préparez vos mouchoirs (1978)
Ghost World (2001)
Giant (1956)
The Girl Can't Help It (1956)
The Go-Between (1971)
Goldfinger (1964)
The Good Earth (1937)
Gosford Park (2001)
The Graduate (1967)
The Grapes of Wrath (1940)
12 Angry Men (1957)
The Grifters (1990)
The Gunfighter (1950)
Hair (1979)
Hamlet (2000)
Handle with Care (1977)
Hannah and Her Sisters (1986)
Happiness (1998)
A Hard Day's Night (1964)
"Harlan County, USA (1976)"
Harry and Tonto (1974)
A Hatful of Rain (1957)
The Heartbreak Kid (1972)
Hearts of Darkness: A Filmmaker's Apocalypse (1991)
Heat and Dust (1983)
Heavy Traffic (1973)
Joey (1985)
The Heiress (1949)
Henry V (1989)
Here Comes Mr. Jordan (1941)
天国to地獄 (1963)
The High and the Mighty (1954)
High Sierra (1941)
His Girl Friday (1940)
Hoop Dreams (1994)
The Hours (2002)
How to Marry a Millionaire (1953)
Howards End (1992)
Hud (1963)
Husbands and Wives (1992)
The Hustler (1961)
I Remember Mama (1948)
I Want to Live! (1958)
Imitation of Life (1959)
In Cold Blood (1967)
In the Bedroom (2001)
The Informer (1935)
Inherit the Wind (1960)
The Insider (1999)
Internal Affairs (1990)
The Ipcress File (1965)
Jailhouse Rock (1957)
Jerry Maguire (1996)
Johnny Guitar (1954)
Judgment at Nuremberg (1961)
Giulietta degli spiriti (1965)
Junior Bonner (1972)
Kagemusha (1980)
The Killers (1946)
The Killing Fields (1984)
The King and I (1956)
Korol' Lir (1971)
The King of Comedy (1982)
The King of Marvin Gardens (1972)
Mortu Nega (1987)
L.A. Confidential (1997)
Lacombe Lucien (1974)
The Lady Eve (1941)
Lamerica (1994)
The Last American Hero (1973)
Le Dernier Métro (1980)
The Last Picture Show (1971)
The Last Temptation of Christ (1988)
The Last Waltz (1978)
Laura (1944)
A League of Their Own (1992)
Leaving Las Vegas (1995)
A Letter to Three Wives (1949)
Life with Father (1947)
Psycho (1960)
Little Big Man (1970)
The Little Foxes (1941)
Little Fugitive (1953)
Malen'kaja Vera (1988)
Little Women (1933)
The Lives of a Bengal Lancer (1935)
Local Hero (1983)
Lolita (1962)
Lone Star (1996)
Long Day's Journey into Night (1962)
The Long Goodbye (1973)
The Long Voyage Home (1940)
Lost Horizon (1937)
Lost in America (1985)
Robin Hood (1973)
Love Affair (1939)
Love and Death (1975)
Love in the Afternoon (1957)
L'Amour en fuite (1979)
M (1931)
The Madness of King George (1994)
Trollflöjten (1975)
The Major and the Minor (1942)
Make Way for Tomorrow (1937)
Malcolm X (1992)
The Maltese Falcon (1941)
Man Hunt (1941)
The Man Who Came to Dinner (1942)
The Man Who Wasn't There (2001)
The Man with the Golden Arm (1955)
The Manchurian Candidate (1962)
Manhattan (1979)
Die Ehe der Maria Braun (1979)
Married to the Mob (1988)
McCabe & Mrs. Miller (1971)
Meet Me in St. Louis (1944)
Melvin and Howard (1980)
The Memory of Justice (1976)
The Men (1950)
Midnight (1939)
The Miracle Worker (1962)
Les Misérables (1935)
The Misfits (1961)
The Thing (1982)
Mr. & Mrs. Bridge (1990)
Mister Roberts (1955)
Mr. Smith Goes to Washington (1939)
Mona Lisa (1986)
Monsieur Verdoux (1947)
"Monsters, Inc. (2001)"
Cat People (1982)
Moonstruck (1987)
The More the Merrier (1943)
Batman: The Movie (1966)
The Mortal Storm (1940)
Mother (1996)
The Mouthpiece (1932)
Much Ado About Nothing (1993)
Mulholland Drive (2001)
Le Souffle au cœur (1971)
My Darling Clementine (1946)
My Dinner with Andre (1981)
Ma nuit chez Maud (1969)
My Own Private Idaho (1991)
Mon oncle (1958)
The Naked Gun: From the Files of Police Squad! (1988)
Nashville (1975)
National Velvet (1944)
Network (1976)
Night Moves (1975)
The Night of the Hunter (1955)
A Night to Remember (1958)
A Nightmare on Elm Street (1984)
Nobody's Fool (1994)
Norma Rae (1979)
Nothing but the Best (1964)
"Now, Voyager (1942)"
The Nun's Story (1959)
Odd Man Out (1947)
Oklahoma! (1955)
On the Beach (1959)
On the Town (1949)
One False Move (1992)
One Foot in Heaven (1941)
One Hour with You (1932)
"One Potato, Two Potato (1964)"
Back Street (1961)
Only Angels Have Wings (1939)
The Opposite of Sex (1998)
Our Town (1940)
Out of the Past (1947)
The Outlaw Josey Wales (1976)
The Ox-Bow Incident (1943)
Paint Your Wagon (1969)
The Parallax View (1974)
A Passage to India (1984)
Paths of Glory (1957)
Payday (1972)
The People vs. Larry Flynt (1996)
Persuasion (1995)
The Philadelphia Story (1940)
The Pianist (2002)
The Firm (1993)
Pickup on South Street (1953)
Pillow Talk (1959)
Pinocchio (1940)
A Place in the Sun (1951)
The Player (1992)
Playtime (1967)
Point Blank (1967)
Poltergeist (1982)
Il postino (1994)
The Postman Always Rings Twice (1946)
Pretty Baby (1978)
Pride and Prejudice (1940)
The Pride of the Yankees: The Life of Lou Gehrig (1942)
Prince of the City (1981)
The Private Life of Henry VIII (1933)
Prizzi's Honor (1985)
The Producers (1967)
The Purple Rose of Cairo (1985)
Pygmalion (1938)
Quadrophenia (1979)
The Quiet Man (1952)
Raging Bull (1980)
Raiders of the Lost Ark (1981)
Dà Hóng Dēnglong Gāogāo Guà (1991)
Raising Arizona (1987)
Witness (1985)
The Rapture (1991)
Rebel Without a Cause (1955)
The Red Badge of Courage (1951)
Red River (1948)
The Red Shoes (1948)
The Remains of the Day (1993)
Repo Man (1984)
Repulsion (1965)
Reservoir Dogs (1992)
"Reuben, Reuben (1983)"
Reversal of Fortune (1990)
Ride the High Country (1962)
The Right Stuff (1983)
Rocco e i suoi fratelli (1960)
Roman Holiday (1953)
Romeo and Juliet (1936)
Romeo and Juliet (1968)
Room at the Top (1959)
The Rose Tattoo (1955)
Rosemary's Baby (1968)
Ruggles of Red Gap (1935)
Rushmore (1998)
Ruthless People (1986)
Sahara (1943)
Salesman (1969)
Saturday Night Fever (1977)
Saving Private Ryan (1998)
Say Anything… (1989)
Sayonara (1957)
The Scoundrel (1935)
Secrets & Lies (1996)
Sergeant York (1941)
Serpico (1973)
Cleopatra (1963)
The Set-Up (1949)
Seven Brides for Seven Brothers (1954)
Seven Days to Noon (1950)
The Seven Year Itch (1955)
Shadow of a Doubt (1943)
Second Chance (1953)
She Wore a Yellow Ribbon (1949)
She's Gotta Have It (1986)
The Shining (1980)
Ship of Fools (1965)
Shock Corridor (1963)
The Shooting Party (1985)
The Shootist (1976)
The Shop Around the Corner (1940)
Sid and Nancy (1986)
Le Monde du silence (1956)
Silk Stockings (1957)
Sleeper (1973)
Smile (1975)
Cyrano de Bergerac (1950)
South Pacific (1958)
Spellbound (1945)
The Spiral Staircase (1946)
Stage Door (1937)
Stagecoach (1939)
Stalag 17 (1953)
A Star Is Born (1937)
Star Trek II: The Wrath of Khan (1982)
Starman (1984)
Stop Making Sense (1984)
Stormy Monday (1988)
Storytelling (2001)
The Straight Story (1999)
Straw Dogs (1971)
A Streetcar Named Desire (1951)
Stroszek (1977)
"Suddenly, Last Summer (1959)"
The Sugarland Express (1974)
Sunday Bloody Sunday (1971)
Les Dimanches de Ville-d'Avray (1962)
The Sweet Hereafter (1997)
Sweet Smell of Success (1957)
Travolti da un insolito destino nell'azzurro mare d'agosto (1974)
Swing Time (1936)
Hable con ella (2002)
Laughter in the Dark (1969)
Taxi Driver (1976)
A Taxing Woman's Return (1988)
Tell Them Willie Boy Is Here (1969)
The Champ (1979)
The Ten Commandments (1956)
Tender Mercies (1983)
The Tender Trap (1955)
Cet obscur objet du désir (1977)
Thelma & Louise (1991)
These Three (1936)
The Thief of Bagdad (1940)
The Thin Blue Line (1988)
The Thin Man (1934)
The Thin Red Line (1998)
Conan the Barbarian (1982)
The 39 Steps (1935)
This Is Spinal Tap (1984)
Three Days of the Condor (1975)
Throne of Blood 蜘蛛巣城 (1957)
Die Blechtrommel (1979)
To Have and Have Not (1944)
Tokyo Story (1953)
Topaz (1969)
Total Recall (1990)
Touch of Evil (1958)
Trainspotting (1996)
A Tree Grows in Brooklyn (1945)
The Trip to Bountiful (1985)
Tristana (1970)
Trouble in Paradise (1932)
The Trouble with Harry (1955)
True Grit (1969)
The Little Mermaid (1989)
Twelve O'Clock High (1949)
Twentieth Century (1934)
Les Deux Anglaises et le Continent (1971)
The Unbearable Lightness of Being (1988)
The Usual Suspects (1995)
The Verdict (1982)
Vertigo (1958)
Viva Zapata! (1952)
The Voice of the Turtle (1947)
Waking Life (2001)
Walkabout (1971)
A Walk in the Sun (1945)
The War of the Roses (1989)
The Warriors (1979)
Watch on the Rhine (1943)
The Way We Were (1973)
What's Eating Gilbert Grape (1993)
When Harry Met Sally… (1989)
White Heat (1949)
Who Framed Roger Rabbit (1988)
The Wild Bunch (1969)
L'Enfant sauvage (1970)
Les Roseaux sauvages (1994)
The Whistler (1944)
The Women (1939)
Mujeres al borde de un ataque de nervios (1988)
Woodstock (1970)
Working Girl (1988)
The World of Apu (1959)
The World of Henry Orient (1964)
Written on the Wind (1956)
Gekijōban Poketto Monsutā: Myūtsū no Gyakushū (1998)
Yankee Doodle Dandy (1942)
The Year of Living Dangerously (1982)
Cross Creek (1984)
Yellow Submarine (1968)
Yojimbo (1961)
You Can Count on Me (2000)
Young Frankenstein (1974)
Marty (1955)
Chariots of Fire (1981)
Gentleman's Agreement (1947)
Rocky (1976)
The Apartment (1960)
The Artist (2011)
The Hurt Locker (2008)
Unforgiven (1992)
Manon (1949)
Justice est faite (1950)
Ordet (1955)
Il generale Della Rovere (1959)
Nuit et Brouillard (1956)
The Battle of Algiers (1966)
Belle de jour (1967)
Die Artisten in der Zirkuskuppel: ratlos (1968)
Atlantic City (1980)
Gloria (1980)
Bēiqíng Chéngshì (1989)
Rosencrantz & Guildenstern Are Dead (1990)
Short Cuts (1993)
Michael Collins (1996)
The Magdalene Sisters (2002)
Vozvraschenie (2003)
Brokeback Mountain (2005)
Casino Royale (2006)
"Sè, Jiè (2007)"
The Wrestler (2008)
Somewhere (2010)
Faust (2011)
P-iet-a (2012)
Sacro GRA (2013)
En duva satt på en gren och funderade på tillvaron (2014)
The Circle (2000)
Lebanon (2009)
"4 luni, 3 săptămâni și 2 zile (2007)"
Un homme et une femme (1966)
Amour (2012)
Elephant (2003)
Fahrenheit 9/11 (2004)
Iris och löjtnantshjärta (1946)
La dolce vita (1960)
MASH (1970)
Człowiek z żelaza (1981)
Miracolo a Milano (1951)
Fröken Julie (1951)
O Pagador de Promessas (1962)
"Paris, Texas (1984)"
Den goda viljan (1992)
Signore & signori (1966)
Entre les murs (2008)
The Knack …and How to Get It (1965)
Die letzte Chance (1945)
The Mission (1986)
The Tree of Life (2011)
Les Parapluies de Cherbourg (1964)
Le Salaire de la peur (1953)
Union Pacific (1939)
Wild at Heart (1990)
Incident (1949)
Sans laisser d'adresse (1951)
A Separation (2011)
"Alphaville, une étrange aventure de Lemmy Caution (1965)"
Bái Rì Yàn Huǒ (2014)
Bloody Sunday (2002)
Buffalo Bill and the Indians (1976)
"Bushido, Samurai Saga (1963)"
Cesare deve morire (2012)
Central do Brasil (1998)
Poziția copilului (2013)
Cinderella (1950)
Cul-de-sac (1966)
Die Ratten (1955)
Grand Canyon (1991)
Gegen die Wand (2004)
Bal (2010)
Invitation to the Dance (1956)
Vechera na hutore bliz Dikan'ki (1961)
Stammheim (1986)
Taxi (2015)
The Apprenticeship of Duddy Kravitz (1974)
Voshozhdenie (1977)
L'Appât (1995)
La casa del sorriso (1991)
U-Carmen eKhayelitsha (2005)
Chronicle of the Years of Fire (1975)
Eternity and a Day (1998)
Uncle Boonmee Who Can Recall His Past Lives (2010)
Kış Uykusu (2014)
Adoption (1975)
Missing (1982)
Susuz Yaz (1964)
La teta asustada (2009)
Transformers: Age of Extinction (2014)
Furious 7 (2015)
Avatar (2009)
Rén Zài Jiǒng Tú Zhī Tài Jiŏng (2012)
Xīn Huā Lù Fàng (2014)
Transformers: Dark of the Moon (2011)
Love Aaj Kal (2009)
Zhì Qǔ Wēi Hǔ Shān (2014)
Sap⁶ Ji⁶ Sang¹ Ciu³ (2012)
Interstellar (2014)
The Hobbit: The Battle of the Five Armies (2014)
Iron Man 3 (2013)
Tin¹ Zeong³ Hung⁴ Si¹ (2015)
Huà Pí Èr (2012)
X-Men: Days of Future Past (2014)
Captain America: The Winter Soldier (2014)
Sī Rén Dìng Zhì (2013)
Dawn of the Planet of the Apes (2014)
Láng Tú Téng (2015)
Pacific Rim (2013)
Ràng Zǐ Dàn Fēi (2010)
Fēn Shǒu Dà Shī (2014)
Kung Fu Panda 2 (2011)
Dí Rén Jié Zhī Shén Dū Lóng Wáng (2013)
Jīn Líng Shí Sān Chāi (2011)
Guardians of the Galaxy (2014)
The Amazing Spider-Man 2 (2014)
Cōng Cōng Nà Nián (2014)
Life of Pi (2012)
PK (2014)
Dhoom 3 (2013)
Chennai Express (2013)
3 Idiots (2009)
Kick (2014)
Happy New Year (2014)
Krrish 3 (2013)
Enthiran (2010)
Bang Bang! (2014)
Ek Tha Tiger (2012)
Yennai Arindhaal (2015)
Dabangg 2 (2012)
Jab Tak Hai Jaan (2012)
Ra.One (2011)
Bodyguard (2011)
Dabangg (2010)
Don 2 (2011)
Singham Returns (2014)
Ram-Leela (2013)
Joker (2012)
Ghajini (2008)
Dasavatharam (2008)
Māi Nema Ija़ Kha़āna (2010)
Agneepath (2012)
Ready (2011)
Barfi! (2012)
Frozen (2013)
Skyfall (2012)
The Dark Knight Rises (2012)
Toy Story 3 (2010)
Jurassic Park (1993)
Star Wars: Episode I – The Phantom Menace (1999)
The Hobbit: An Unexpected Journey (2012)
The Lion King (1994)
Despicable Me 2 (2013)
The Hobbit: The Desolation of Smaug (2013)
Harry Potter and the Order of the Phoenix (2007)
Finding Nemo (2003)
Harry Potter and the Half-Blood Prince (2009)
The Lord of the Rings: The Two Towers (2002)
Harry Potter and the Goblet of Fire (2005)
Spider-Man 3 (2007)
Ice Age: Dawn of the Dinosaurs (2009)
Harry Potter and the Chamber of Secrets (2002)
Ice Age: Continental Drift (2012)
The Lord of the Rings: The Fellowship of the Ring (2001)
The Hunger Games: Catching Fire (2013)
Star Wars: Episode III – Revenge of the Sith (2005)
Inception (2010)
Spider-Man (2002)
Independence Day (1996)
Shrek the Third (2007)
Harry Potter and the Prisoner of Azkaban (2004)
2012 (2009)
Snow White and the Seven Dwarfs (1937)
The Birth of a Nation (1915)
Cleopatra (1917)
Mickey (1918)
The Miracle Man (1919)
Way Down East (1920)
The Four Horsemen of the Apocalypse (1921)
Robin Hood (1922)
The Covered Wagon (1923)
The Sea Hawk (1924)
The Big Parade (1925)
The Sign of the Cross (1932)
The Merry Widow (1934)
San Francisco (1936)
Bambi (1942)
Song of the South (1946)
Easter Parade (1948)
Samson and Delilah (1949)
Quo Vadis (1951)
This Is Cinerama (1952)
Lady and the Tramp (1955)
Swiss Family Robinson (1960)
